element,first_name,second_name,web_name,team,element_type,now_cost,selected_by_percent,form,points_per_game,minutes,goals_scored,assists,clean_sheets,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,transfers_in_event,transfers_out_event,status,news,season,season_start,full_name,player_id,name_key,team_name,short_name,strength,last_season_ppg,last_season_minutes_share,is_promoted_team
1,David,Raya Martín,Raya,1,1,60,36.6,0.0,4.4,3330,0,0,19,0.00,0.07,0.07,27.56,0,0,a,,2025-26,2025,David_Raya Martín,davidrayamartn,raya,Arsenal,ARS,,,,False
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,50,0.1,0.0,2.0,90,0,0,0,0.00,0.00,0.00,0.98,0,0,a,,2025-26,2025,Kepa_Arrizabalaga Revuelta,kepaarrizabalagarevuelta,arrizabalaga,Arsenal,ARS,,,,False
3,Illan,Meslier,Meslier,1,1,50,0.0,0.0,0.0,0,11,0,0,0.00,0.00,0.00,0.00,0,0,a,,2025-26,2025,Illan_Meslier,illanmeslier,meslier,Arsenal,ARS,,,,False
4,Gabriel,dos Santos Magalhães,Gabriel,1,2,80,29.7,0.0,6.5,2750,3,5,18,2.94,1.75,4.69,22.01,0,0,a,,2025-26,2025,Gabriel_dos Santos Magalhães,gabrieldossantosmagalhes,gabriel,Arsenal,ARS,,4.178571428571429,0.6909356725146198,False
5,Jurriën,Timber,J.Timber,1,2,65,0.2,0.0,5.0,2452,3,6,13,4.71,1.53,6.24,17.45,0,0,i,Groin injury - Unknown return date,2025-26,2025,Jurriën_Timber,jurrintimber,jtimber,Arsenal,ARS,,3.8,0.706140350877193,False
6,William,Saliba,Saliba,1,2,60,0.3,0.0,4.4,2614,1,0,15,0.88,1.21,2.09,20.41,0,0,i,Back injury - Unknown return date,2025-26,2025,William_Saliba,williamsaliba,saliba,Arsenal,ARS,,3.7142857142857144,0.8885964912280702,False
7,Myles,Lewis-Skelly,Lewis-Skelly,1,3,55,0.6,0.0,1.4,697,0,0,2,0.10,0.20,0.30,9.01,0,0,a,,2025-26,2025,Myles_Lewis-Skelly,myleslewisskelly,lewisskelly,Arsenal,ARS,,1.608695652173913,0.39824561403508774,False
8,Riccardo,Calafiori,Calafiori,1,2,55,33.3,0.0,4.2,1697,1,2,13,3.36,0.76,4.12,9.72,0,0,a,,2025-26,2025,Riccardo_Calafiori,riccardocalafiori,calafiori,Arsenal,ARS,,2.0526315789473686,0.28596491228070176,False
9,Piero,Hincapié,Hincapie,1,2,55,2.2,0.0,3.5,1787,1,2,5,0.36,1.67,2.03,17.53,0,0,a,,2025-26,2025,Piero_Hincapié,pierohincapi,hincapie,Arsenal,ARS,,,,False
10,Benjamin,White,White,1,2,55,3.6,0.0,3.8,699,0,1,5,0.45,0.69,1.14,8.68,0,0,a,,2025-26,2025,Benjamin_White,benjaminwhite,white,Arsenal,ARS,,2.9411764705882355,0.34941520467836257,False
11,Cristhian,Mosquera,Mosquera,1,2,55,8.4,0.0,2.0,986,0,0,3,0.10,0.63,0.73,9.04,0,0,a,,2025-26,2025,Cristhian_Mosquera,cristhianmosquera,mosquera,Arsenal,ARS,,,,False
12,Bukayo,Saka,Saka,1,3,95,9.3,0.0,5.1,2218,7,10,12,7.57,7.16,14.73,15.57,0,0,a,,2025-26,2025,Bukayo_Saka,bukayosaka,saka,Arsenal,ARS,,5.08,0.504093567251462,False
13,Declan,Rice,Rice,1,3,75,18.9,0.0,5.1,3093,4,9,18,3.15,7.32,10.47,23.87,0,0,a,,2025-26,2025,Declan_Rice,declanrice,rice,Arsenal,ARS,,3.6285714285714286,0.8254385964912281,False
14,Eberechi,Eze,Eze,1,3,65,2.2,0.0,3.4,1885,7,3,11,5.18,2.66,7.84,14.21,0,0,a,,2025-26,2025,Eberechi_Eze,eberechieze,eze,Arsenal,ARS,,4.352941176470588,0.7567251461988304,False
