season,element,gw,minutes,total_points,pred_decomposed_tuned,first_name,second_name,web_name,team_id,element_type,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,news,chance_of_playing_next_round,name,name_key,player_id,position,team_name,short_name,opponent_team,was_home,kickoff_time,fdr,season_start,value,selected,transfers_in,transfers_out,transfers_balance,goals_scored,assists,clean_sheets,goals_conceded,expected_goals,expected_assists,starts,bonus,opponent_team_name,last_season_ppg,last_season_minutes_share,is_promoted_team,rest_days,total_points_roll3,total_points_roll5,minutes_roll3,minutes_roll5,goals_scored_roll3,goals_scored_roll5,assists_roll3,assists_roll5,expected_goals_roll3,expected_goals_roll5,expected_assists_roll3,expected_assists_roll5,team_goals_scored_gw_roll5,team_goals_conceded_gw_roll5,team_points_gw_roll5,opponent_team_points_roll5,opponent_team_gc_roll5,in_squad,in_xi,is_captain,is_vice,bench_priority
2026-27,1,1,0,0,4.148695,David,Raya Martín,Raya,1.0,1.0,60.0,36.6,0.0,0.0,a,,,David_Raya Martín,davidrayamartn,davidrayamartn,GK,Arsenal,ARS,7,True,2026-08-21 19:00:00+00:00,2.0,2026,60,2671738.512,0,0,0,,,,,,,,,Coventry City,4.378378378378378,0.9736842105263158,False,,,,,,,,,,,,,,,,,,,1,1,0,0,0
2026-27,4,1,0,0,5.1784596,Gabriel,dos Santos Magalhães,Gabriel,1.0,2.0,80.0,29.7,0.0,0.0,a,,,Gabriel_dos Santos Magalhães,gabrieldossantosmagalhes,gabrieldossantosmagalhes,DEF,Arsenal,ARS,7,True,2026-08-21 19:00:00+00:00,2.0,2026,80,2168050.104,0,0,0,,,,,,,,,Coventry City,6.53125,0.804093567251462,False,,,,,,,,,,,,,,,,,,,1,1,0,1,0
2026-27,8,1,0,0,4.2256846,Riccardo,Calafiori,Calafiori,1.0,2.0,55.0,33.5,0.0,0.0,a,,,Riccardo_Calafiori,riccardocalafiori,riccardocalafiori,DEF,Arsenal,ARS,7,True,2026-08-21 19:00:00+00:00,2.0,2026,55,2445443.72,0,0,0,,,,,,,,,Coventry City,4.1923076923076925,0.49619883040935675,False,,,,,,,,,,,,,,,,,,,1,1,0,0,0
2026-27,387,1,0,0,4.124919,Nico,O'Reilly,O'Reilly,15.0,2.0,65.0,21.4,0.0,0.0,a,,,Nico_O'Reilly,nicooreilly,nicooreilly,DEF,Man City,MCI,3,True,2026-08-23 13:00:00+00:00,3.0,2026,65,1562164.048,0,0,0,,,,,,,,,Bournemouth,4.705882352941177,0.7728070175438596,False,,,,,,,,,,,,,,,,,,,1,1,0,0,0
2026-27,356,1,0,0,4.0731773,Virgil,van Dijk,Virgil,14.0,2.0,65.0,18.7,0.0,0.0,a,,,Virgil_van Dijk,virgilvandijk,virgilvandijk,DEF,Liverpool,LIV,17,False,2026-08-23 15:30:00+00:00,3.0,2026,65,1365068.584,0,0,0,,,,,,,,,Newcastle,4.605263157894737,1.0,False,,,,,,,,,,,,,,,,,,,1,1,0,0,0
2026-27,426,1,0,0,6.7495265,Bruno,Borges Fernandes,B.Fernandes,16.0,3.0,120.0,50.5,0.0,0.0,a,,,Bruno_Borges Fernandes,brunoborgesfernandes,brunoborgesfernandes,MID,Man Utd,MUN,11,False,2026-08-22 11:30:00+00:00,2.0,2026,120,3686415.16,0,0,0,,,,,,,,,Hull City,6.714285714285714,0.8961988304093568,False,,,,,,,,,,,,,,,,,,,1,1,1,0,0
2026-27,397,1,0,0,5.1486154,Antoine,Semenyo,Semenyo,15.0,3.0,85.0,26.4,0.0,0.0,a,,,Antoine_Semenyo,antoinesemenyo,antoinesemenyo,MID,Man City,MCI,3,True,2026-08-23 13:00:00+00:00,3.0,2026,85,1927155.648,0,0,0,,,,,,,,,Bournemouth,5.45945945945946,0.935672514619883,False,,,,,,,,,,,,,,,,,,,1,1,0,0,0
2026-27,427,1,0,0,4.7725677,Bryan,Mbeumo,Mbeumo,16.0,3.0,80.0,35.1,0.0,0.0,a,,,Bryan_Mbeumo,bryanmbeumo,bryanmbeumo,MID,Man Utd,MUN,11,False,2026-08-22 11:30:00+00:00,2.0,2026,80,2562241.032,0,0,0,,,,,,,,,Hull City,4.484848484848484,0.7634502923976608,False,,,,,,,,,,,,,,,,,,,1,1,0,0,0
2026-27,368,1,0,0,4.48172,Dominik,Szoboszlai,Szoboszlai,14.0,3.0,70.0,41.5,0.0,0.0,a,,,Dominik_Szoboszlai,dominikszoboszlai,dominikszoboszlai,MID,Liverpool,LIV,17,False,2026-08-23 15:30:00+00:00,3.0,2026,70,3029430.28,0,0,0,,,,,,,,,Newcastle,4.444444444444445,0.9450292397660819,False,,,,,,,,,,,,,,,,,,,1,1,0,0,0
2026-27,40,1,0,0,4.3333974,Morgan,Rogers,Rogers,6.0,3.0,75.0,25.6,0.0,0.0,a,,,Morgan_Rogers,morganrogers,morganrogers,MID,Chelsea,CHE,10,False,2026-08-24 19:00:00+00:00,3.0,2026,75,1868756.992,0,0,0,,,,,,,,,Fulham,4.5675675675675675,0.9590643274853801,False,,,,,,,,,,,,,,,,,,,1,1,0,0,0
2026-27,165,1,0,0,4.5466805,João Pedro,Junqueira de Jesus,João Pedro,6.0,4.0,75.0,62.6,0.0,0.0,a,,,João Pedro_Junqueira de Jesus,joopedrojunqueiradejesus,joopedrojunqueiradejesus,FWD,Chelsea,CHE,10,False,2026-08-24 19:00:00+00:00,3.0,2026,75,4569694.832,0,0,0,,,,,,,,,Fulham,5.057142857142857,0.7771929824561403,False,,,,,,,,,,,,,,,,,,,1,1,0,0,0
2026-27,111,1,0,0,0.743754,Jason,Steele,Steele,5.0,1.0,40.0,4.2,0.0,0.0,a,,,Jason_Steele,jasonsteele,jasonsteele,GK,Brighton,BHA,2,True,2026-08-23 13:00:00+00:00,3.0,2026,40,306592.944,0,0,0,,,,,,,,,Aston Villa,,0.0,False,,,,,,,,,,,,,,,,,,,1,0,0,0,0
2026-27,174,1,0,0,0.47707918,Liam,Kitching,Kitching,7.0,2.0,40.0,0.7,0.0,0.0,a,,,Liam_Kitching,liamkitching,liamkitching,DEF,Coventry City,COV,1,False,2026-08-21 19:00:00+00:00,5.0,2026,40,51098.82399999999,0,0,0,,,,,,,,,Arsenal,,,True,,,,,,,,,,,,,,,,,,,1,0,0,0,1
2026-27,107,1,0,0,0.24382524,Kaye,Furo,Furo,4.0,4.0,45.0,0.8,0.0,0.0,a,,,Kaye_Furo,kayefuro,kayefuro,FWD,Brentford,BRE,19,True,2026-08-22 16:30:00+00:00,3.0,2026,45,58398.656,0,0,0,,,,,,,,,Spurs,1.0,0.00029239766081871346,False,,,,,,,,,,,,,,,,,,,1,0,0,0,2
2026-27,169,1,0,0,0.19188285,Shumaira,Mheuka,Mheuka,6.0,4.0,45.0,0.3,0.0,0.0,a,,,Shumaira_Mheuka,shumairamheuka,shumairamheuka,FWD,Chelsea,CHE,10,False,2026-08-24 19:00:00+00:00,3.0,2026,45,21899.496,0,0,0,,,,,,,,,Fulham,1.0,0.00029239766081871346,False,,,,,,,,,,,,,,,,,,,1,0,0,0,3
