season,element,gw,pred_decomposed_tuned,minutes,total_points,first_name,second_name,web_name,team_id,element_type,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,news,chance_of_playing_next_round,name,name_key,player_id,position,team_name,short_name,opponent_team,was_home,kickoff_time,fdr,season_start,value,selected,transfers_in,transfers_out,transfers_balance,goals_scored,assists,clean_sheets,goals_conceded,expected_goals,expected_assists,starts,bonus,opponent_team_name,last_season_ppg,last_season_minutes_share,is_promoted_team,rest_days,total_points_roll3,total_points_roll5,minutes_roll3,minutes_roll5,goals_scored_roll3,goals_scored_roll5,assists_roll3,assists_roll5,expected_goals_roll3,expected_goals_roll5,expected_assists_roll3,expected_assists_roll5,team_goals_scored_gw_roll5,team_goals_conceded_gw_roll5,team_points_gw_roll5,opponent_team_points_roll5,opponent_team_gc_roll5,in_squad,in_xi,is_captain,is_vice,bench_priority
2026-27,1,2,4.1211495,0.0,0.0,David,Raya Martín,Raya,1,1.0,60.0,38.3,98445.0,74561.0,a,,,David_Raya Martín,davidrayamartn,davidrayamartn,GK,Arsenal,ARS,2,False,2026-08-31 19:00:00+00:00,4.0,2026,60,3785805.2469999995,98445,74561,23884,,,,,,,,,Aston Villa,4.378378378378378,0.9736842105263158,False,10.0,6.0,6.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,80.0,10.0,44.0,1,1,0,0,0
2026-27,388,2,5.534487,0.0,0.0,Marc,Guéhi,Guéhi,15,2.0,60.0,19.5,167959.0,37640.0,a,,,Marc_Guéhi,marcguhi,marcguhi,DEF,Man City,MCI,8,False,2026-08-28 19:00:00+00:00,3.0,2026,60,1927498.7550000001,167959,37640,130319,,,,,,,,,Crystal Palace,5.114285714285714,0.9210526315789473,False,5.25,10.0,10.0,90.0,90.0,1.0,1.0,0.0,0.0,0.89,0.89,0.32,0.32,2.0,11.0,47.0,25.0,22.0,1,1,0,0,0
2026-27,4,2,5.238261,0.0,0.0,Gabriel,dos Santos Magalhães,Gabriel,1,2.0,80.0,29.1,55127.0,112673.0,a,,,Gabriel_dos Santos Magalhães,gabrieldossantosmagalhes,gabrieldossantosmagalhes,DEF,Arsenal,ARS,2,False,2026-08-31 19:00:00+00:00,4.0,2026,80,2876421.2190000005,55127,112673,-57546,,,,,,,,,Aston Villa,6.53125,0.804093567251462,False,10.0,5.0,5.0,90.0,90.0,0.0,0.0,0.0,0.0,0.05,0.05,0.01,0.01,3.0,0.0,80.0,10.0,44.0,1,1,0,0,0
2026-27,356,2,5.042099,0.0,0.0,Virgil,van Dijk,Virgil,14,2.0,65.0,19.6,68237.0,72217.0,a,,,Virgil_van Dijk,virgilvandijk,virgilvandijk,DEF,Liverpool,LIV,18,True,2026-08-29 11:30:00+00:00,3.0,2026,65,1937383.364,68237,72217,-3980,,,,,,,,,Nott'm Forest,4.605263157894737,1.0,False,5.833333333333333,2.0,2.0,90.0,90.0,0.0,0.0,0.0,0.0,0.25,0.25,0.01,0.01,2.0,22.0,43.0,32.0,11.0,1,1,0,0,0
2026-27,8,2,4.1768155,0.0,0.0,Riccardo,Calafiori,Calafiori,1,2.0,56.0,41.7,292401.0,37656.0,a,,,Riccardo_Calafiori,riccardocalafiori,riccardocalafiori,DEF,Arsenal,ARS,2,False,2026-08-31 19:00:00+00:00,4.0,2026,56,4121881.953,292401,37656,254745,,,,,,,,,Aston Villa,4.1923076923076925,0.49619883040935675,False,10.0,9.0,9.0,80.0,80.0,0.0,0.0,1.0,1.0,0.04,0.04,0.09,0.09,3.0,0.0,80.0,10.0,44.0,1,1,0,0,0
2026-27,368,2,6.4275665,0.0,0.0,Dominik,Szoboszlai,Szoboszlai,14,3.0,70.0,43.2,220295.0,60821.0,a,,,Dominik_Szoboszlai,dominikszoboszlai,dominikszoboszlai,MID,Liverpool,LIV,18,True,2026-08-29 11:30:00+00:00,3.0,2026,70,4270151.088,220295,60821,159474,,,,,,,,,Nott'm Forest,4.444444444444445,0.9450292397660819,False,5.833333333333333,8.0,8.0,90.0,90.0,1.0,1.0,0.0,0.0,0.85,0.85,0.27,0.27,2.0,22.0,43.0,32.0,11.0,1,1,1,0,0
2026-27,427,2,5.759861,0.0,0.0,Bryan,Mbeumo,Mbeumo,16,3.0,80.0,35.9,73085.0,195823.0,a,,,Bryan_Mbeumo,bryanmbeumo,bryanmbeumo,MID,Man Utd,MUN,12,True,2026-08-30 15:30:00+00:00,2.0,2026,80,3548574.631,73085,195823,-122738,,,,,,,,,Ipswich Town,4.484848484848484,0.7634502923976608,False,8.166666666666666,2.0,2.0,90.0,90.0,0.0,0.0,0.0,0.0,0.5,0.5,0.23,0.23,0.0,22.0,20.0,50.0,11.0,1,1,0,1,0
2026-27,40,2,5.2872677,0.0,0.0,Morgan,Rogers,Rogers,6,3.0,75.0,26.1,228386.0,63985.0,a,,,Morgan_Rogers,morganrogers,morganrogers,MID,Chelsea,CHE,5,True,2026-08-30 13:00:00+00:00,2.0,2026,75,2579882.949,228386,63985,164401,,,,,,,,,Brighton,4.5675675675675675,0.9590643274853801,False,5.75,8.0,8.0,81.0,81.0,1.0,1.0,0.0,0.0,0.96,0.96,0.1,0.1,3.0,22.0,51.0,84.0,0.0,1,1,0,0,0
2026-27,426,2,5.2610474,0.0,0.0,Bruno,Borges Fernandes,B.Fernandes,16,3.0,120.0,48.3,43145.0,206992.0,a,,,Bruno_Borges Fernandes,brunoborgesfernandes,brunoborgesfernandes,MID,Man Utd,MUN,12,True,2026-08-30 15:30:00+00:00,2.0,2026,120,4774266.147,43145,206992,-163847,,,,,,,,,Ipswich Town,6.714285714285714,0.8961988304093568,False,8.166666666666666,2.0,2.0,90.0,90.0,0.0,0.0,0.0,0.0,0.08,0.08,0.26,0.26,0.0,22.0,20.0,50.0,11.0,1,1,0,0,0
2026-27,397,2,4.6306276,0.0,0.0,Antoine,Semenyo,Semenyo,15,3.0,85.0,24.2,43634.0,153989.0,a,,,Antoine_Semenyo,antoinesemenyo,antoinesemenyo,MID,Man City,MCI,8,False,2026-08-28 19:00:00+00:00,3.0,2026,85,2392075.378,43634,153989,-110355,,,,,,,,,Crystal Palace,5.45945945945946,0.935672514619883,False,5.25,2.0,2.0,90.0,90.0,0.0,0.0,0.0,0.0,0.06,0.06,0.02,0.02,2.0,11.0,47.0,25.0,22.0,1,1,0,0,0
