season,element,gw,minutes,pred_decomposed_tuned,total_points,first_name,second_name,web_name,team_id,element_type,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,news,chance_of_playing_next_round,name,name_key,player_id,position,team_name,short_name,opponent_team,was_home,kickoff_time,fdr,season_start,value,selected,transfers_in,transfers_out,transfers_balance,goals_scored,assists,clean_sheets,goals_conceded,expected_goals,expected_assists,starts,bonus,opponent_team_name,last_season_ppg,last_season_minutes_share,is_promoted_team,rest_days,total_points_roll3,total_points_roll5,minutes_roll3,minutes_roll5,goals_scored_roll3,goals_scored_roll5,assists_roll3,assists_roll5,expected_goals_roll3,expected_goals_roll5,expected_assists_roll3,expected_assists_roll5,team_goals_scored_gw_roll5,team_goals_conceded_gw_roll5,team_points_gw_roll5,opponent_team_points_roll5,opponent_team_gc_roll5,in_squad,in_xi,is_captain,is_vice,bench_priority
2026-27,1,4,0.0,3.3713033,0.0,David,Raya Martín,Raya,1,1.0,60.0,39.0,193898.0,167084.0,a,,,David_Raya Martín,davidrayamartn,davidrayamartn,GK,Arsenal,ARS,20,False,2026-09-12 19:00:00+00:00,3.0,2026,60,4164491.7600000002,193898,167084,26814,,,,,,,,,Sunderland,4.378378378378378,0.9736842105263158,False,6.145833333333333,5.0,5.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0033333333333333335,2.0,3.6666666666666665,65.33333333333333,47.0,11.0,1,1,0,0,0
2026-27,356,4,0.0,4.5735645,0.0,Virgil,van Dijk,Virgil,14,2.0,65.0,17.2,64604.0,101606.0,a,,,Virgil_van Dijk,virgilvandijk,virgilvandijk,DEF,Liverpool,LIV,10,True,2026-09-12 14:00:00+00:00,2.0,2026,65,1836647.6479999998,64604,101606,-37002,,,,,,,,,Fulham,4.605263157894737,1.0,False,7.791666666666667,3.0,3.0,90.0,90.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.02,0.02,2.0,14.666666666666666,51.0,34.333333333333336,25.666666666666668,1,1,0,0,0
2026-27,4,4,0.0,4.492749,0.0,Gabriel,dos Santos Magalhães,Gabriel,1,2.0,80.0,24.2,44191.0,197144.0,a,,,Gabriel_dos Santos Magalhães,gabrieldossantosmagalhes,gabrieldossantosmagalhes,DEF,Arsenal,ARS,20,False,2026-09-12 19:00:00+00:00,3.0,2026,80,2584120.528,44191,197144,-152953,,,,,,,,,Sunderland,6.53125,0.804093567251462,False,6.145833333333333,5.0,5.0,90.0,90.0,0.0,0.0,0.0,0.0,0.16333333333333333,0.16333333333333333,0.016666666666666666,0.016666666666666666,2.0,3.6666666666666665,65.33333333333333,47.0,11.0,1,1,0,0,0
2026-27,388,4,0.0,4.3410234,0.0,Marc,Guéhi,Guéhi,15,2.0,60.0,18.5,78388.0,90276.0,a,,,Marc_Guéhi,marcguhi,marcguhi,DEF,Man City,MCI,16,False,2026-09-13 15:30:00+00:00,4.0,2026,60,1975464.04,78388,90276,-11888,,,,,,,,,Man Utd,5.114285714285714,0.9210526315789473,False,8.0625,6.666666666666667,6.666666666666667,90.0,90.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2966666666666667,0.2966666666666667,0.12666666666666668,0.12666666666666668,2.3333333333333335,7.666666666666667,62.0,45.666666666666664,22.0,1,1,0,0,0
2026-27,8,4,0.0,3.5227613,0.0,Riccardo,Calafiori,Calafiori,1,2.0,58.0,48.7,385615.0,72316.0,a,,,Riccardo_Calafiori,riccardocalafiori,riccardocalafiori,DEF,Arsenal,ARS,20,False,2026-09-12 19:00:00+00:00,3.0,2026,58,5200275.608,385615,72316,313299,,,,,,,,,Sunderland,4.1923076923076925,0.49619883040935675,False,6.145833333333333,7.333333333333333,7.333333333333333,78.66666666666667,78.66666666666667,0.0,0.0,0.6666666666666666,0.6666666666666666,0.18000000000000002,0.18000000000000002,0.19333333333333333,0.19333333333333333,2.0,3.6666666666666665,65.33333333333333,47.0,11.0,1,1,0,0,0
2026-27,426,4,0.0,5.6201215,0.0,Bruno,Borges Fernandes,B.Fernandes,16,3.0,120.0,44.0,100806.0,513621.0,a,,,Bruno_Borges Fernandes,brunoborgesfernandes,brunoborgesfernandes,MID,Man Utd,MUN,15,True,2026-09-13 15:30:00+00:00,4.0,2026,120,4698400.96,100806,513621,-412815,,,,,,,,,Man City,6.714285714285714,0.8961988304093568,False,7.104166666666667,9.0,9.0,90.0,90.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.75,0.75,0.26666666666666666,0.26666666666666666,2.0,22.0,45.666666666666664,62.0,7.666666666666667,1,1,1,0,0
2026-27,480,4,0.0,4.650757,0.0,Morgan,Gibbs-White,Gibbs-White,18,3.0,79.0,9.4,127907.0,110381.0,a,,100.0,Morgan_Gibbs-White,morgangibbswhite,morgangibbswhite,MID,Nott'm Forest,NFO,2,False,2026-09-12 14:00:00+00:00,4.0,2026,79,1003749.296,127907,110381,17526,,,,,,,,,Aston Villa,5.081081081081081,0.9067251461988304,False,7.0,6.0,6.0,90.0,90.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4666666666666666,0.4666666666666666,0.03666666666666667,0.03666666666666667,0.6666666666666666,11.666666666666666,43.0,30.0,18.333333333333332,1,1,0,0,0
2026-27,368,4,0.0,4.542529,0.0,Dominik,Szoboszlai,Szoboszlai,14,3.0,70.0,38.4,175568.0,428963.0,a,,,Dominik_Szoboszlai,dominikszoboszlai,dominikszoboszlai,MID,Liverpool,LIV,10,True,2026-09-12 14:00:00+00:00,2.0,2026,70,4100422.656,175568,428963,-253395,,,,,,,,,Fulham,4.444444444444445,0.9450292397660819,False,7.791666666666667,5.0,5.0,90.0,90.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.38999999999999996,0.38999999999999996,0.17333333333333334,0.17333333333333334,2.0,14.666666666666666,51.0,34.333333333333336,25.666666666666668,1,1,0,0,0
2026-27,68,4,0.0,4.1189046,0.0,Marcus,Tavernier,Tavernier,3,3.0,60.0,3.5,133391.0,39044.0,a,,,Marcus_Tavernier,marcustavernier,marcustavernier,MID,Bournemouth,BOU,4,True,2026-09-12 14:00:00+00:00,3.0,2026,60,373736.44000000006,133391,39044,94347,,,,,,,,,Brentford,4.029411764705882,0.7988304093567251,False,7.104166666666667,7.0,7.0,89.33333333333333,89.33333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.5,0.11333333333333334,0.11333333333333334,1.0,18.333333333333332,39.333333333333336,55.333333333333336,7.333333333333333,1,1,0,0,0
2026-27,40,4,0.0,3.9163923,0.0,Morgan,Rogers,Rogers,6,3.0,76.0,32.1,806792.0,102748.0,a,,,Morgan_Rogers,morganrogers,morganrogers,MID,Chelsea,CHE,11,True,2026-09-12 14:00:00+00:00,2.0,2026,76,3427697.0640000002,806792,102748,704044,,,,,,,,,Hull City,4.5675675675675675,0.9590643274853801,False,5.9375,6.333333333333333,6.333333333333333,85.66666666666667,85.66666666666667,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3933333333333333,0.3933333333333333,0.38000000000000006,0.38000000000000006,2.6666666666666665,25.666666666666668,42.333333333333336,64.66666666666667,0.0,1,1,0,0,0
