step,name,layers,lr,dropout,aux_weight,mae_all,rmse_all,r2_all,spearman_all,mae_played,rmse_played,r2_played,spearman_played,epochs_ran
2,wide,"[256, 128, 64]",0.001,0.25,1.0,1.0580926120076615,2.05818181159871,0.27477584637446906,0.6933028679976029,1.8869487300933128,2.8027721068506284,0.062356649722610236,0.36672384280763776,20
2,wide,"[256, 128, 64]",0.002,0.35,1.0,1.039352122233064,2.058003118495852,0.2749017700687515,0.6931936980171048,1.8653008898109393,2.8027399819795504,0.062378143799168506,0.3697095856244094,20
2,deep,"[128, 128, 128, 64]",0.001,0.25,1.0,1.0300837139487395,2.0547111015950543,0.2772196737053184,0.6929038168751511,1.8427118209571176,2.812093285926692,0.056109638224470015,0.36912647463423387,20
2,deep,"[128, 128, 128, 64]",0.001,0.15,0.75,1.0372503783452047,2.0572314838282613,0.2754454097106287,0.6928827158760148,1.8509168766611521,2.811232479572086,0.056687415973032396,0.36630783622773344,19
2,deep,"[128, 128, 128, 64]",0.0005,0.15,0.5,1.0402376177859314,2.053868350617212,0.27781245670877386,0.6928043061558959,1.8532892156485399,2.8095790262431337,0.057796726327489445,0.36750682482822034,20
2,deep,"[128, 128, 128, 64]",0.002,0.25,1.0,1.045813822414409,2.0566757242908342,0.2758368325869638,0.6925442116116544,1.857627044013068,2.80191630080486,0.06292916743551824,0.36763503923772345,16
2,wide,"[256, 128, 64]",0.0005,0.15,0.5,1.0695388969874156,2.057275941920232,0.27541409319332777,0.6924164878433016,1.88652312116156,2.7977065890155193,0.06574283800693626,0.3672937745774381,20
2,wide,"[256, 128, 64]",0.001,0.35,1.0,1.0534228109600212,2.055574037557539,0.2766124407864624,0.6922422944447792,1.879839344468898,2.8020158864825526,0.06286255552976738,0.3652874929092418,20
2,wide,"[256, 128, 64]",0.002,0.25,1.0,1.0423423795505606,2.0566461329213612,0.27585767089942415,0.692117903322574,1.8517893156680894,2.8015745441457245,0.06315774718728628,0.3708014021045437,15
2,wide,"[256, 128, 64]",0.001,0.15,0.75,1.047238739017693,2.0610544103259603,0.2727500469221382,0.6919970640724588,1.8655802036674067,2.8047630739131657,0.06102405470003058,0.3666594886917828,20
2,deep,"[128, 128, 128, 64]",0.002,0.35,1.0,1.0425530203836837,2.057881333195839,0.27498758499473575,0.6918149126631336,1.866485098616344,2.805194293850544,0.0607353056942499,0.36691173253591086,16
2,deep,"[128, 128, 128, 64]",0.001,0.35,1.0,1.0368998833498297,2.056766145628746,0.27577315580885653,0.6912378357057897,1.8543165231322265,2.809682522504619,0.05772730929985581,0.36740869350607724,20
2,deep,"[128, 128, 128, 64]",0.0005,0.25,1.0,1.0438440579041501,2.0530551906790198,0.27838419513220414,0.6904483370161775,1.8535983917509542,2.8081625312410443,0.05874654107117672,0.3672107004369248,20
2,wide,"[256, 128, 64]",0.0005,0.25,1.0,1.070682206967239,2.057917307896123,0.27496223627137883,0.6901550244685314,1.8866228332386172,2.8003986005241486,0.06394404963535616,0.36602510227300955,20
1,deep,"[128, 128, 128, 64]",0.001,0.25,1.0,1.0491225769284096,2.0582923717481156,0.2746979299883855,0.6878320950363349,1.8619552391713536,2.8160756935292564,0.053434323123324745,0.3612145143708237,27
1,wide,"[256, 128, 64]",0.001,0.25,1.0,1.0512389716037356,2.06174819076341,0.27226035901508117,0.6870092026739445,1.861969218647986,2.823472707921744,0.04845508499554341,0.3625058567388251,17
1,default,"[128, 64, 32]",0.001,0.25,1.0,1.06603075900753,2.060204596105246,0.27334964287310837,0.6867032746526144,1.8769091949272356,2.818867759266985,0.05155640217739543,0.36131824564231724,24
1,small,"[64, 32]",0.001,0.25,1.0,1.154572961309735,2.06914997236225,0.2670257344004524,0.6820531225258726,1.8800924225186453,2.8199748363848385,0.05081127577770583,0.35261016927055616,13
