gw,model_score_simple,model_score,model_xi_points,model_captain_picked,model_vice_picked,model_captain_used,model_captain_points,model_subs_applied,autosub_uplift,model_formation,model_cost_m,oracle_score,oracle_captain,regret
1,79.0,79.0,72.0,Erling Haaland,Alexander Isak,Erling Haaland,7.0,0,0.0,1-5-3-2,100.0,131.0,Mohamed Salah,52.0
2,82.0,82.0,65.0,Erling Haaland,Mohamed Salah,Erling Haaland,17.0,0,0.0,1-4-4-2,99.8,170.0,Noni Madueke,88.0
3,78.0,78.0,61.0,Erling Haaland,Cole Palmer,Erling Haaland,17.0,0,0.0,1-4-5-1,99.9,142.0,Erling Haaland,64.0
4,47.0,47.0,34.0,Erling Haaland,Mohamed Salah,Erling Haaland,13.0,0,0.0,1-3-5-2,99.2,148.0,Matthijs de Ligt,101.0
5,71.0,71.0,62.0,Erling Haaland,Mohamed Salah,Erling Haaland,9.0,0,0.0,1-3-5-2,99.9,139.0,Luis Díaz,68.0
6,48.0,48.0,46.0,Erling Haaland,Bukayo Saka,Erling Haaland,2.0,0,0.0,1-3-5-2,99.5,163.0,Cole Palmer,115.0
7,47.0,47.0,45.0,Erling Haaland,Cole Palmer,Erling Haaland,2.0,0,0.0,1-3-5-2,99.9,154.0,Michail Antonio,107.0
8,39.0,39.0,37.0,Erling Haaland,Bukayo Saka,Erling Haaland,2.0,0,0.0,1-4-4-2,99.8,132.0,Michael Keane,93.0
9,72.0,72.0,66.0,Erling Haaland,Cole Palmer,Erling Haaland,6.0,0,0.0,1-3-5-2,99.4,127.0,Bryan Mbeumo,55.0
10,51.0,51.0,42.0,Mohamed Salah,Cole Palmer,Mohamed Salah,9.0,0,0.0,1-4-5-1,100.0,138.0,Dominic Solanke-Mitchell,87.0
11,81.0,81.0,67.0,Mohamed Salah,Cole Palmer,Mohamed Salah,14.0,0,0.0,1-3-4-3,99.9,140.0,Bruno Borges Fernandes,59.0
