gw,horizon_used,gw_score_gross,hit_cost,gw_score_net,transfers_in,free_available,paid_transfers,banked_before,banked_after,captain_picked,captain_used,subs_applied,formation,cost_m
1,1,51.0,0,51.0,0,1,0,0,0,Mohamed_Salah,Mohamed_Salah,0,1-4-5-1,100.0
2,4,48.0,8,40.0,3,1,2,0,0,Mohamed_Salah,Mohamed_Salah,1,1-4-5-1,98.1
3,4,62.0,4,58.0,2,1,1,0,0,Mohamed_Salah,Mohamed_Salah,0,1-4-5-1,99.7
4,4,93.0,0,93.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,0,1-4-5-1,99.5
5,4,58.0,0,58.0,1,1,0,0,0,Mohamed_Salah,Mohamed_Salah,0,1-4-5-1,99.6
6,4,74.0,0,74.0,0,1,0,0,1,Erling_Haaland,Erling_Haaland,0,1-4-5-1,99.8
7,4,74.0,0,74.0,2,2,0,1,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,98.6
8,4,82.0,0,82.0,0,1,0,0,1,Erling_Haaland,Erling_Haaland,1,1-3-5-2,99.2
9,4,44.0,0,44.0,2,2,0,1,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,99.2
10,4,76.0,0,76.0,0,1,0,0,1,Erling_Haaland,Erling_Haaland,0,1-3-5-2,99.7
11,4,42.0,0,42.0,1,2,0,1,1,Erling_Haaland,Erling_Haaland,1,1-3-5-2,99.3
12,4,35.0,0,35.0,1,2,0,1,1,Erling_Haaland,Erling_Haaland,1,1-3-5-2,99.4
13,4,53.0,0,53.0,2,2,0,1,0,Erling_Haaland,Erling_Haaland,0,1-4-4-2,99.7
14,4,53.0,0,53.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,99.8
15,4,62.0,0,62.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,1,1-3-5-2,99.6
16,4,85.0,0,85.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,98.9
17,4,80.0,0,80.0,0,1,0,0,1,Erling_Haaland,Erling_Haaland,0,1-3-5-2,99.2
18,4,46.0,0,46.0,2,2,0,1,0,Erling_Haaland,Erling_Haaland,1,1-3-5-2,100.0
19,4,53.0,0,53.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,99.9
20,4,57.0,0,57.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,1,1-3-5-2,99.9
21,4,61.0,0,61.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,97.6
22,4,50.0,0,50.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,0,1-4-4-2,98.1
23,4,40.0,8,32.0,3,1,2,0,0,Erling_Haaland,Erling_Haaland,0,1-4-4-2,99.4
24,4,73.0,0,73.0,0,1,0,0,1,Erling_Haaland,Erling_Haaland,0,1-4-4-2,99.9
25,4,66.0,0,66.0,1,2,0,1,1,Erling_Haaland,Erling_Haaland,0,1-4-4-2,99.7
26,4,115.0,4,111.0,3,2,1,1,0,Gabriel_dos Santos Magalhães,Gabriel_dos Santos Magalhães,0,1-3-5-2,96.7
27,4,33.0,0,33.0,1,1,0,0,0,Cole_Palmer,Cole_Palmer,0,1-4-5-1,98.3
28,4,68.0,12,56.0,4,1,3,0,0,Bruno_Borges Fernandes,Bruno_Borges Fernandes,0,1-3-4-3,99.3
29,4,88.0,0,88.0,0,1,0,0,1,Antoine_Semenyo,Antoine_Semenyo,0,1-3-5-2,99.4
30,4,54.0,0,54.0,0,2,0,1,2,Bruno_Borges Fernandes,Bruno_Borges Fernandes,0,1-3-5-2,99.8
31,4,37.0,4,33.0,4,3,1,2,0,João Pedro_Junqueira de Jesus,João Pedro_Junqueira de Jesus,0,1-3-4-3,92.6
32,4,54.0,12,42.0,4,1,3,0,0,Bruno_Borges Fernandes,Bruno_Borges Fernandes,0,1-3-5-2,99.7
33,4,180.0,0,180.0,0,1,0,0,1,Erling_Haaland,Erling_Haaland,1,1-3-4-3,99.7
34,4,46.0,36,10.0,11,2,9,1,0,Bruno_Borges Fernandes,Bruno_Borges Fernandes,0,1-4-4-2,93.8
35,4,57.0,4,53.0,2,1,1,0,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,99.1
36,3,134.0,0,134.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,0,1-4-5-1,99.9
37,2,56.0,0,56.0,1,1,0,0,0,Gabriel_dos Santos Magalhães,Gabriel_dos Santos Magalhães,0,1-3-5-2,99.9
38,1,36.0,0,36.0,1,1,0,0,0,Erling_Haaland,Gabriel_dos Santos Magalhães,1,1-3-5-2,99.8
