gw,horizon_used,gw_score_gross,hit_cost,gw_score_net,transfers_in,free_available,paid_transfers,banked_before,banked_after,captain_picked,captain_used,subs_applied,formation,cost_m
1,1,79.0,0,79.0,0,1,0,0,0,Erling Haaland,Erling Haaland,0,1-5-3-2,100.0
2,4,85.0,0,85.0,0,1,0,0,1,Erling Haaland,Erling Haaland,0,1-5-3-2,100.0
3,4,71.0,4,67.0,3,2,1,1,0,Erling Haaland,Erling Haaland,0,1-4-4-2,98.8
4,4,59.0,0,59.0,1,1,0,0,0,Erling Haaland,Erling Haaland,1,1-3-5-2,99.3
5,4,80.0,0,80.0,1,1,0,0,0,Erling Haaland,Erling Haaland,0,1-4-5-1,98.6
6,4,39.0,0,39.0,1,1,0,0,0,Erling Haaland,Erling Haaland,0,1-4-5-1,99.6
7,4,54.0,0,54.0,1,1,0,0,0,Erling Haaland,Erling Haaland,0,1-4-5-1,97.3
8,4,37.0,0,37.0,1,1,0,0,0,Erling Haaland,Erling Haaland,1,1-5-4-1,97.6
9,4,54.0,0,54.0,1,1,0,0,0,Erling Haaland,Erling Haaland,0,1-4-5-1,98.6
10,4,52.0,4,48.0,2,1,1,0,0,Mohamed Salah,Mohamed Salah,0,1-5-4-1,97.1
11,4,74.0,0,74.0,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-4-5-1,99.9
12,4,75.0,0,75.0,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-4-5-1,97.9
13,4,74.0,0,74.0,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-4-4-2,97.0
14,4,72.0,0,72.0,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-3-5-2,100.0
15,4,58.0,4,54.0,2,1,1,0,0,Bukayo Saka,Bukayo Saka,0,1-3-5-2,94.5
16,4,63.0,0,63.0,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-3-5-2,100.0
17,4,115.0,0,115.0,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-3-5-2,99.2
18,4,79.0,0,79.0,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-3-5-2,96.8
19,4,71.0,0,71.0,1,1,0,0,0,Cole Palmer,Cole Palmer,0,1-3-5-2,98.4
20,4,73.0,0,73.0,1,1,0,0,0,Mohamed Salah,Mohamed Salah,1,1-4-4-2,98.6
21,4,68.0,0,68.0,0,1,0,0,1,Cole Palmer,Cole Palmer,0,1-5-3-2,98.8
22,4,34.0,0,34.0,0,2,0,1,2,Cole Palmer,Cole Palmer,0,1-4-4-2,99.3
23,4,68.0,4,64.0,4,3,1,2,0,Mohamed Salah,Mohamed Salah,0,1-5-3-2,99.8
24,4,196.0,4,192.0,2,1,1,0,0,Mohamed Salah,Mohamed Salah,0,1-4-4-2,98.7
25,4,170.0,0,170.0,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-5-3-2,99.6
26,4,75.0,12,63.0,4,1,3,0,0,Mohamed Salah,Mohamed Salah,0,1-5-3-2,98.4
27,4,71.0,0,71.0,0,1,0,0,1,Mohamed Salah,Mohamed Salah,1,1-4-4-2,98.6
28,4,62.0,0,62.0,0,2,0,1,2,Mohamed Salah,Mohamed Salah,0,1-4-4-2,98.8
29,4,65.0,0,65.0,3,3,0,2,0,Erling Haaland,Erling Haaland,0,1-5-3-2,97.7
30,4,43.0,16,27.0,5,1,4,0,0,Mohamed Salah,Mohamed Salah,1,1-4-4-2,99.1
31,4,63.0,12,51.0,4,1,3,0,0,Mohamed Salah,Mohamed Salah,0,1-3-5-2,99.3
32,4,126.0,0,126.0,0,1,0,0,1,Alexander Isak,Alexander Isak,0,1-4-4-2,100.0
33,4,144.0,4,140.0,3,2,1,1,0,Bukayo Saka,Bukayo Saka,0,1-3-4-3,98.6
34,4,77.0,40,37.0,11,1,10,0,0,Mohamed Salah,Mohamed Salah,0,1-3-4-3,97.1
35,4,51.0,0,51.0,1,1,0,0,0,Bryan Mbeumo,Bryan Mbeumo,0,1-4-4-2,99.0
36,3,44.0,0,44.0,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-3-4-3,100.0
37,2,54.0,0,54.0,1,1,0,0,0,Mohamed Salah,Mohamed Salah,1,1-3-4-3,99.8
38,1,64.0,0,64.0,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-3-4-3,99.6
