gw,gw_score_gross,hit_cost,gw_score_net,transfers_in,transfers_out,free_available,paid_transfers,banked_before,banked_after,captain_picked,captain_used,subs_applied,formation,cost_m,missing_from_pool
1,79.0,0,79.0,0,0,1,0,0,0,Erling Haaland,Erling Haaland,0,1-5-3-2,100.0,0
2,81.0,0,81.0,1,1,1,0,0,0,Erling Haaland,Erling Haaland,0,1-5-3-2,100.0,0
3,69.0,0,69.0,1,1,1,0,0,0,Erling Haaland,Erling Haaland,0,1-5-3-2,98.7,0
4,56.0,0,56.0,1,1,1,0,0,0,Erling Haaland,Erling Haaland,1,1-5-3-2,96.1,0
5,62.0,0,62.0,1,1,1,0,0,0,Erling Haaland,Erling Haaland,0,1-5-3-2,99.6,0
6,40.0,0,40.0,1,1,1,0,0,0,Erling Haaland,Erling Haaland,0,1-4-3-3,99.3,0
7,61.0,0,61.0,1,1,1,0,0,0,Erling Haaland,Erling Haaland,0,1-5-3-2,99.4,0
8,34.0,0,34.0,1,1,1,0,0,0,Erling Haaland,Erling Haaland,0,1-5-3-2,99.9,0
9,46.0,4,42.0,2,2,1,1,0,0,Erling Haaland,Erling Haaland,0,1-5-3-2,99.9,0
10,33.0,0,33.0,1,1,1,0,0,0,Cole Palmer,Cole Palmer,0,1-5-3-2,99.5,0
11,21.0,0,21.0,1,1,1,0,0,0,Cole Palmer,Cole Palmer,0,1-5-3-2,100.0,0
12,55.0,0,55.0,1,1,1,0,0,0,Cole Palmer,Cole Palmer,0,1-5-3-2,98.9,0
13,64.0,4,60.0,2,2,1,1,0,0,Mohamed Salah,Mohamed Salah,0,1-4-4-2,99.3,0
14,89.0,0,89.0,1,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-4-4-2,99.5,0
15,44.0,8,36.0,3,3,1,2,0,0,Bukayo Saka,Bukayo Saka,0,1-4-4-2,97.0,3
16,73.0,0,73.0,1,1,1,0,0,0,Cole Palmer,Cole Palmer,0,1-4-4-2,97.0,0
17,54.0,0,54.0,1,1,1,0,0,0,Cole Palmer,Cole Palmer,0,1-4-4-2,96.6,0
18,67.0,0,67.0,1,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-4-4-2,99.8,0
19,57.0,0,57.0,1,1,1,0,0,0,Cole Palmer,Cole Palmer,0,1-4-4-2,99.6,0
20,52.0,0,52.0,1,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-4-4-2,99.7,0
21,69.0,0,69.0,1,1,1,0,0,0,Cole Palmer,Cole Palmer,0,1-5-3-2,100.0,0
22,42.0,0,42.0,1,1,1,0,0,0,Cole Palmer,Cole Palmer,1,1-4-4-2,99.8,0
23,61.0,0,61.0,1,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-4-4-2,99.0,0
24,203.0,16,187.0,5,5,1,4,0,0,Mohamed Salah,Mohamed Salah,0,1-4-4-2,99.4,0
25,140.0,12,128.0,4,4,1,3,0,0,Mohamed Salah,Mohamed Salah,1,1-4-4-2,99.5,0
26,70.0,0,70.0,1,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-4-4-2,99.1,0
27,60.0,0,60.0,1,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-4-4-2,99.9,0
28,62.0,0,62.0,1,1,1,0,0,0,Mohamed Salah,Mohamed Salah,1,1-4-4-2,99.8,0
29,54.0,24,30.0,7,7,1,6,0,0,Erling Haaland,Erling Haaland,1,1-4-4-2,99.7,7
30,51.0,4,47.0,2,2,1,1,0,0,Mohamed Salah,Mohamed Salah,0,1-5-4-1,97.3,0
31,36.0,0,36.0,1,1,1,0,0,0,Mohamed Salah,Mohamed Salah,1,1-5-3-2,98.3,0
32,126.0,16,110.0,5,5,1,4,0,0,Alexander Isak,Alexander Isak,0,1-4-4-2,97.5,0
33,158.0,20,138.0,6,6,1,5,0,0,Bukayo Saka,Bukayo Saka,0,1-3-4-3,99.6,0
34,66.0,40,26.0,11,11,1,10,0,0,Mohamed Salah,Mohamed Salah,0,1-3-4-3,97.7,11
35,54.0,0,54.0,1,1,1,0,0,0,Bryan Mbeumo,Bryan Mbeumo,0,1-3-4-3,98.8,0
36,33.0,0,33.0,1,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-4-3-3,99.9,0
37,37.0,0,37.0,1,1,1,0,0,0,Mohamed Salah,Mohamed Salah,1,1-3-4-3,99.4,0
38,52.0,0,52.0,1,1,1,0,0,0,Mohamed Salah,Mohamed Salah,0,1-3-4-3,100.0,0
