gw,element,name,position,team_name,value,pred_points,actual_points,minutes,in_xi,is_captain,is_vice,bench_priority
1,15,David Raya Martin,GK,Arsenal,55.0,3.3395376,8.0,90.0,1,0,0,0
1,18,William Saliba,DEF,Arsenal,60.0,3.7008939,6.0,90.0,1,0,0,0
1,311,Trent Alexander-Arnold,DEF,Liverpool,70.0,3.4816623,8.0,76.0,1,0,0,0
1,350,Joško Gvardiol,DEF,Man City,60.0,3.2941341,7.0,90.0,1,0,0,0
1,495,Pedro Porro,DEF,Spurs,55.0,3.2549224,9.0,90.0,1,0,0,0
1,395,Dan Burn,DEF,Newcastle,45.0,2.6922736,5.0,90.0,1,0,0,0
1,17,Bukayo Saka,MID,Arsenal,100.0,4.3805428,12.0,79.0,1,0,0,0
1,398,Anthony Gordon,MID,Newcastle,75.0,3.713045,3.0,69.0,1,0,0,0
1,199,Eberechi Eze,MID,Crystal Palace,70.0,3.5245287,2.0,90.0,1,0,0,0
1,351,Erling Haaland,FWD,Man City,150.0,5.659785,7.0,90.0,1,1,0,0
1,401,Alexander Isak,FWD,Newcastle,85.0,4.392195,5.0,90.0,1,0,1,0
1,55,Viljami Sinisalo,GK,Aston Villa,40.0,0.3949669,0.0,0.0,0,0,0,0
1,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.49949342,0.0,0.0,0,0,0,1
1,150,Andrey Nascimento dos Santos,MID,Chelsea,45.0,0.47518826,0.0,0.0,0,0,0,2
1,473,Ross Stewart,FWD,Southampton,45.0,0.46585912,0.0,0.0,0,0,0,3
2,15,David Raya Martin,GK,Arsenal,55.0,3.2755785,10.0,90.0,1,0,0,0
2,350,Joško Gvardiol,DEF,Man City,60.0,5.204944,2.0,90.0,1,0,1,0
2,311,Trent Alexander-Arnold,DEF,Liverpool,70.0,4.8598313,6.0,71.0,1,0,0,0
2,495,Pedro Porro,DEF,Spurs,55.0,4.608004,6.0,90.0,1,0,0,0
2,18,William Saliba,DEF,Arsenal,60.0,3.6579223,6.0,90.0,1,0,0,0
2,395,Dan Burn,DEF,Newcastle,45.0,3.1911244,1.0,90.0,1,0,0,0
2,17,Bukayo Saka,MID,Arsenal,100.0,4.848725,6.0,87.0,1,0,0,0
2,494,James Maddison,MID,Spurs,75.0,4.310266,6.0,78.0,1,0,0,0
2,199,Eberechi Eze,MID,Crystal Palace,70.0,3.8170679,2.0,90.0,1,0,0,0
2,351,Erling Haaland,FWD,Man City,150.0,7.398979,17.0,89.0,1,1,0,0
2,401,Alexander Isak,FWD,Newcastle,85.0,4.3342576,2.0,90.0,1,0,0,0
2,55,Viljami Sinisalo,GK,Aston Villa,40.0,0.009594448,0.0,0.0,0,0,0,0
2,150,Andrey Nascimento dos Santos,MID,Chelsea,45.0,0.052117273,0.0,0.0,0,0,0,2
2,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.03133671,0.0,0.0,0,0,0,3
2,473,Ross Stewart,FWD,Southampton,45.0,0.12247868,0.0,0.0,0,0,0,1
3,15,David Raya Martin,GK,Arsenal,55.0,4.151635,2.0,90.0,1,0,0,0
3,311,Trent Alexander-Arnold,DEF,Liverpool,70.0,4.082989,6.0,75.0,1,0,0,0
3,18,William Saliba,DEF,Arsenal,60.0,3.9747066,2.0,90.0,1,0,0,0
3,495,Pedro Porro,DEF,Spurs,55.0,3.6063359,1.0,90.0,1,0,0,0
3,350,Joško Gvardiol,DEF,Man City,60.0,3.0530972,2.0,87.0,1,0,0,0
3,395,Dan Burn,DEF,Newcastle,45.0,2.132182,0.0,90.0,1,0,0,0
3,78,Antoine Semenyo,MID,Bournemouth,55.0,4.561794,6.0,90.0,1,0,1,0
3,17,Bukayo Saka,MID,Arsenal,101.0,4.5349746,6.0,90.0,1,0,0,0
3,494,James Maddison,MID,Spurs,75.0,3.725122,1.0,81.0,1,0,0,0
3,351,Erling Haaland,FWD,Man City,151.0,6.0663514,17.0,90.0,1,1,0,0
3,401,Alexander Isak,FWD,Newcastle,85.0,1.5789688,9.0,90.0,1,0,0,0
3,55,Viljami Sinisalo,GK,Aston Villa,40.0,0.03687621,0.0,0.0,0,0,0,0
3,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.062805034,0.0,0.0,0,0,0,2
3,150,Andrey Nascimento dos Santos,MID,Chelsea,45.0,0.050131075,0.0,0.0,0,0,0,3
3,473,Ross Stewart,FWD,Southampton,45.0,0.09418891,0.0,0.0,0,0,0,1
4,15,David Raya Martin,GK,Arsenal,55.0,3.067174,9.0,90.0,1,0,0,0
4,311,Trent Alexander-Arnold,DEF,Liverpool,70.0,4.6699734,1.0,90.0,1,0,0,0
4,495,Pedro Porro,DEF,Spurs,55.0,2.9888659,2.0,90.0,1,0,0,0
4,18,William Saliba,DEF,Arsenal,60.0,2.7726316,5.0,90.0,1,0,0,0
4,350,Joško Gvardiol,DEF,Man City,60.0,2.6242514,1.0,45.0,1,0,0,0
4,395,Dan Burn,DEF,Newcastle,45.0,2.3819766,1.0,90.0,1,0,0,0
4,78,Antoine Semenyo,MID,Bournemouth,56.0,4.0676003,1.0,90.0,1,0,0,0
4,17,Bukayo Saka,MID,Arsenal,101.0,3.352057,7.0,85.0,1,0,0,0
4,494,James Maddison,MID,Spurs,75.0,3.0967352,2.0,79.0,1,0,0,0
4,351,Erling Haaland,FWD,Man City,152.0,6.7211633,13.0,90.0,1,1,0,0
4,129,João Pedro Junqueira de Jesus,FWD,Brighton,57.0,4.8039494,0.0,0.0,1,0,1,0
4,55,Viljami Sinisalo,GK,Aston Villa,40.0,-0.07077004,0.0,0.0,0,0,0,0
4,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.117320836,0.0,0.0,0,0,0,2
4,150,Andrey Nascimento dos Santos,MID,Chelsea,45.0,0.09175138,0.0,0.0,0,0,0,3
4,473,Ross Stewart,FWD,Southampton,45.0,0.19373475,1.0,28.0,0,0,0,1
5,15,David Raya Martin,GK,Arsenal,55.0,3.6053903,4.0,90.0,1,0,0,0
5,311,Trent Alexander-Arnold,DEF,Liverpool,71.0,4.1063495,11.0,90.0,1,0,0,0
5,495,Pedro Porro,DEF,Spurs,56.0,4.005432,2.0,87.0,1,0,0,0
5,18,William Saliba,DEF,Arsenal,60.0,3.289394,1.0,90.0,1,0,0,0
5,395,Dan Burn,DEF,Newcastle,45.0,2.2851934,1.0,90.0,1,0,0,0
5,350,Joško Gvardiol,DEF,Man City,60.0,2.0937207,1.0,90.0,1,0,0,0
5,17,Bukayo Saka,MID,Arsenal,100.0,3.6794667,4.0,45.0,1,0,0,0
5,494,James Maddison,MID,Spurs,75.0,3.1861322,12.0,87.0,1,0,0,0
5,78,Antoine Semenyo,MID,Bournemouth,56.0,3.1759052,2.0,69.0,1,0,0,0
5,351,Erling Haaland,FWD,Man City,153.0,6.3352323,9.0,90.0,1,1,0,0
5,58,Ollie Watkins,FWD,Aston Villa,90.0,4.4912715,6.0,90.0,1,0,1,0
5,55,Viljami Sinisalo,GK,Aston Villa,40.0,-0.061814204,0.0,0.0,0,0,0,0
5,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.10277892,0.0,0.0,0,0,0,2
5,150,Andrey Nascimento dos Santos,MID,Chelsea,45.0,0.08443796,0.0,0.0,0,0,0,3
5,473,Ross Stewart,FWD,Southampton,45.0,1.2499357,0.0,31.0,0,0,0,1
6,15,David Raya Martin,GK,Arsenal,56.0,4.1843405,1.0,90.0,1,0,0,0
6,311,Trent Alexander-Arnold,DEF,Liverpool,71.0,4.655777,1.0,90.0,1,0,0,0
6,18,William Saliba,DEF,Arsenal,60.0,4.080164,0.0,90.0,1,0,0,0
6,369,Diogo Dalot Teixeira,DEF,Man Utd,50.0,3.6258037,0.0,90.0,1,0,0,0
