gw,gw_score_gross,chip,tc_uplift,bb_uplift,hit_cost,gw_score_net,transfers_in,free_available,paid_transfers,banked_before,banked_after,captain_picked,captain_used,subs_applied,formation,cost_m
1,51.0,TC,8.0,0.0,0,59.0,0,1,0,0,0,Mohamed_Salah,Mohamed_Salah,0,1-4-5-1,100.0
2,43.0,WC,0.0,0.0,0,43.0,5,5,0,0,0,Mohamed_Salah,Mohamed_Salah,0,1-3-5-2,99.1
3,70.0,,0.0,0.0,8,62.0,3,1,2,0,0,Mohamed_Salah,Mohamed_Salah,0,1-4-5-1,100.0
4,78.0,,0.0,0.0,0,78.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,99.4
5,55.0,,0.0,0.0,0,55.0,0,1,0,0,1,Mohamed_Salah,Mohamed_Salah,0,1-3-5-2,99.8
6,68.0,,0.0,0.0,0,68.0,0,2,0,1,2,Erling_Haaland,Erling_Haaland,0,1-3-5-2,100.0
7,78.0,,0.0,0.0,0,78.0,3,3,0,2,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,98.0
8,92.0,,0.0,0.0,0,92.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,1,1-3-5-2,99.2
9,38.0,,0.0,0.0,0,38.0,0,1,0,0,1,Erling_Haaland,Erling_Haaland,0,1-3-5-2,99.7
10,82.0,,0.0,0.0,0,82.0,2,2,0,1,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,99.9
11,48.0,BB,0.0,1.0,0,49.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,1,1-3-5-2,99.4
12,53.0,,0.0,0.0,0,53.0,0,1,0,0,1,Erling_Haaland,Erling_Haaland,1,1-3-5-2,99.6
13,47.0,,0.0,0.0,0,47.0,2,2,0,1,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,99.9
14,63.0,,0.0,0.0,0,63.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,98.9
15,62.0,,0.0,0.0,0,62.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,99.1
16,103.0,,0.0,0.0,0,103.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,98.9
17,65.0,,0.0,0.0,0,65.0,0,1,0,0,1,Erling_Haaland,Erling_Haaland,0,1-3-5-2,99.7
18,31.0,,0.0,0.0,0,31.0,2,2,0,1,0,Erling_Haaland,Erling_Haaland,1,1-3-5-2,99.6
19,53.0,,0.0,0.0,0,53.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,99.6
20,51.0,,0.0,0.0,4,47.0,2,1,1,0,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,99.8
21,59.0,,0.0,0.0,0,59.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,97.8
22,52.0,,0.0,0.0,0,52.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,99.0
23,40.0,,0.0,0.0,0,40.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,1,1-3-5-2,100.0
24,57.0,,0.0,0.0,4,53.0,2,1,1,0,0,Erling_Haaland,Erling_Haaland,0,1-3-4-3,98.7
25,74.0,,0.0,0.0,8,66.0,3,1,2,0,0,Erling_Haaland,Erling_Haaland,0,1-3-4-3,99.8
26,118.0,WC,0.0,0.0,0,118.0,5,5,0,0,0,Gabriel_dos Santos Magalhães,Gabriel_dos Santos Magalhães,0,1-3-4-3,99.7
27,44.0,,0.0,0.0,12,32.0,4,1,3,0,0,Cole_Palmer,Cole_Palmer,0,1-3-5-2,99.9
28,70.0,,0.0,0.0,12,58.0,4,1,3,0,0,Bruno_Borges Fernandes,Bruno_Borges Fernandes,0,1-3-4-3,99.9
29,86.0,,0.0,0.0,0,86.0,1,1,0,0,0,Antoine_Semenyo,Antoine_Semenyo,0,1-3-5-2,99.0
30,63.0,,0.0,0.0,0,63.0,0,1,0,0,1,Bruno_Borges Fernandes,Bruno_Borges Fernandes,0,1-3-5-2,99.5
31,42.0,,0.0,0.0,8,34.0,4,2,2,1,0,João Pedro_Junqueira de Jesus,João Pedro_Junqueira de Jesus,0,1-3-4-3,97.2
32,50.0,,0.0,0.0,4,46.0,2,1,1,0,0,Bruno_Borges Fernandes,Bruno_Borges Fernandes,0,1-3-5-2,97.6
33,186.0,BB,0.0,28.0,4,210.0,2,1,1,0,0,Erling_Haaland,Erling_Haaland,1,1-3-4-3,99.9
34,50.0,,0.0,0.0,40,10.0,11,1,10,0,0,Bruno_Borges Fernandes,Bruno_Borges Fernandes,0,1-3-4-3,99.3
35,61.0,,0.0,0.0,8,53.0,3,1,2,0,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,99.3
36,140.0,TC,22.0,0.0,0,162.0,1,1,0,0,0,Erling_Haaland,Erling_Haaland,0,1-3-5-2,100.0
37,65.0,,0.0,0.0,0,65.0,1,1,0,0,0,Gabriel_dos Santos Magalhães,Gabriel_dos Santos Magalhães,0,1-3-4-3,98.3
38,28.0,,0.0,0.0,0,28.0,1,1,0,0,0,Erling_Haaland,Gabriel_dos Santos Magalhães,1,1-3-4-3,99.2
