gw,element,name,position,team_name,pred_points,actual_points,minutes,in_xi,is_captain,is_vice,chip
1,502,Matz_Sels,GK,Nott'm Forest,3.5479014,2.0,90.0,1,0,0,TC
1,370,Jeremie_Frimpong,DEF,Liverpool,4.584782,1.0,59.0,1,0,0,TC
1,38,Ezri_Konsa Ngoyo,DEF,Aston Villa,3.6802456,3.0,65.0,1,0,0,TC
1,507,Ola_Aina,DEF,Nott'm Forest,3.634004,4.0,90.0,1,0,0,TC
1,575,Micky_van de Ven,DEF,Spurs,3.610015,6.0,90.0,1,0,0,TC
1,381,Mohamed_Salah,MID,Liverpool,7.9683795,8.0,90.0,1,1,0,TC
1,235,Cole_Palmer,MID,Chelsea,6.8881917,3.0,90.0,1,0,1,TC
1,382,Florian_Wirtz,MID,Liverpool,5.7274456,2.0,81.0,1,0,0,TC
1,449,Bruno_Borges Fernandes,MID,Man Utd,5.431857,2.0,90.0,1,0,0,TC
1,582,Mohammed_Kudus,MID,Spurs,4.3184447,10.0,84.0,1,0,0,TC
1,64,Ollie_Watkins,FWD,Aston Villa,5.202587,2.0,90.0,1,0,0,TC
1,602,Krisztián_Hegyi,GK,West Ham,0.2502951,0.0,0.0,0,0,0,TC
1,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.52579004,0.0,0.0,0,0,0,TC
1,252,Marc_Guiu Paz,FWD,Chelsea,2.5402417,0.0,0.0,0,0,0,TC
1,286,Zach_Marsh,FWD,Crystal Palace,0.2349851,0.0,0.0,0,0,0,TC
2,502,Matz_Sels,GK,Nott'm Forest,3.2291665,2.0,90.0,1,0,0,WC
2,7,Riccardo_Calafiori,DEF,Arsenal,4.5866604,13.0,63.0,1,0,0,WC
2,260,Marc_Guéhi,DEF,Man City,4.425725,2.0,90.0,1,0,0,WC
2,507,Ola_Aina,DEF,Nott'm Forest,3.1085367,1.0,90.0,1,0,0,WC
2,381,Mohamed_Salah,MID,Liverpool,6.018993,5.0,90.0,1,1,0,WC
2,235,Cole_Palmer,MID,Chelsea,5.692588,0.0,0.0,1,0,1,WC
2,82,Antoine_Semenyo,MID,Man City,5.370235,6.0,90.0,1,0,0,WC
2,86,David_Brooks,MID,Bournemouth,4.6321235,3.0,66.0,1,0,0,WC
2,449,Bruno_Borges Fernandes,MID,Man Utd,4.325466,2.0,90.0,1,0,0,WC
2,97,Francisco Evanilson_de Lima Barbosa,FWD,Bournemouth,4.3890285,2.0,87.0,1,0,0,WC
2,64,Ollie_Watkins,FWD,Aston Villa,4.294378,2.0,90.0,1,0,0,WC
2,602,Krisztián_Hegyi,GK,West Ham,0.06914444,0.0,0.0,0,0,0,WC
2,38,Ezri_Konsa Ngoyo,DEF,Aston Villa,0.23700976,0.0,0.0,0,0,0,WC
2,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.21509165,0.0,0.0,0,0,0,WC
2,286,Zach_Marsh,FWD,Crystal Palace,0.034935728,0.0,0.0,0,0,0,WC
3,502,Matz_Sels,GK,Nott'm Forest,3.7104008,2.0,90.0,1,0,0,
3,507,Ola_Aina,DEF,Nott'm Forest,3.8290887,1.0,90.0,1,0,0,
3,7,Riccardo_Calafiori,DEF,Arsenal,3.827215,2.0,90.0,1,0,0,
3,260,Marc_Guéhi,DEF,Man City,3.535998,15.0,90.0,1,0,0,
3,348,Joe_Rodon,DEF,Leeds,3.001544,7.0,90.0,1,0,0,
3,381,Mohamed_Salah,MID,Liverpool,6.0532384,3.0,90.0,1,1,0,
3,449,Bruno_Borges Fernandes,MID,Man Utd,4.9386063,10.0,90.0,1,0,0,
3,237,Enzo_Fernández,MID,Chelsea,4.8751526,12.0,90.0,1,0,0,
3,82,Antoine_Semenyo,MID,Man City,3.772482,2.0,90.0,1,0,0,
3,86,David_Brooks,MID,Bournemouth,2.6073208,4.0,63.0,1,0,0,
3,430,Erling_Haaland,FWD,Man City,5.919327,9.0,90.0,1,0,1,
3,602,Krisztián_Hegyi,GK,West Ham,0.08866111,0.0,0.0,0,0,0,
3,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.07847758,0.0,0.0,0,0,0,
3,97,Francisco Evanilson_de Lima Barbosa,FWD,Bournemouth,2.0986922,8.0,80.0,0,0,0,
3,286,Zach_Marsh,FWD,Crystal Palace,0.029585997,0.0,0.0,0,0,0,
4,470,Martin_Dúbravka,GK,Burnley,3.127533,3.0,90.0,1,0,0,
4,7,Riccardo_Calafiori,DEF,Arsenal,4.1303387,5.0,67.0,1,0,0,
4,260,Marc_Guéhi,DEF,Man City,3.1485524,6.0,90.0,1,0,0,
4,348,Joe_Rodon,DEF,Leeds,2.8933773,4.0,90.0,1,0,0,
4,381,Mohamed_Salah,MID,Liverpool,6.045573,9.0,90.0,1,0,1,
4,449,Bruno_Borges Fernandes,MID,Man Utd,4.5252867,2.0,90.0,1,0,0,
4,82,Antoine_Semenyo,MID,Man City,4.4601016,13.0,90.0,1,0,0,
4,86,David_Brooks,MID,Bournemouth,4.0395923,1.0,66.0,1,0,0,
4,237,Enzo_Fernández,MID,Chelsea,4.0179462,4.0,90.0,1,0,0,
4,430,Erling_Haaland,FWD,Man City,6.1572337,13.0,86.0,1,1,0,
4,97,Francisco Evanilson_de Lima Barbosa,FWD,Bournemouth,3.920021,5.0,90.0,1,0,0,
4,602,Krisztián_Hegyi,GK,West Ham,0.051035155,0.0,0.0,0,0,0,
4,507,Ola_Aina,DEF,Nott'm Forest,0.20391636,0.0,0.0,0,0,0,
4,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.09272758,0.0,0.0,0,0,0,
4,286,Zach_Marsh,FWD,Crystal Palace,0.036634844,0.0,0.0,0,0,0,
5,470,Martin_Dúbravka,GK,Burnley,3.5883698,4.0,90.0,1,0,0,
5,260,Marc_Guéhi,DEF,Man City,3.559562,7.0,90.0,1,0,0,
5,348,Joe_Rodon,DEF,Leeds,3.3440642,2.0,90.0,1,0,0,
5,7,Riccardo_Calafiori,DEF,Arsenal,2.984225,2.0,90.0,1,0,0,
5,381,Mohamed_Salah,MID,Liverpool,6.737666,5.0,90.0,1,1,0,
5,82,Antoine_Semenyo,MID,Man City,4.8136578,5.0,90.0,1,0,0,
5,449,Bruno_Borges Fernandes,MID,Man Utd,4.5695353,10.0,86.0,1,0,0,
5,237,Enzo_Fernández,MID,Chelsea,4.3650656,1.0,90.0,1,0,0,
5,86,David_Brooks,MID,Bournemouth,3.250156,3.0,62.0,1,0,0,
5,430,Erling_Haaland,FWD,Man City,6.184169,9.0,75.0,1,0,1,
5,97,Francisco Evanilson_de Lima Barbosa,FWD,Bournemouth,3.7172992,2.0,90.0,1,0,0,
5,602,Krisztián_Hegyi,GK,West Ham,0.052547127,0.0,0.0,0,0,0,
5,507,Ola_Aina,DEF,Nott'm Forest,0.11547648,0.0,0.0,0,0,0,
5,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.07415086,0.0,0.0,0,0,0,
5,286,Zach_Marsh,FWD,Crystal Palace,0.05069694,0.0,0.0,0,0,0,
6,470,Martin_Dúbravka,GK,Burnley,2.7169406,1.0,90.0,1,0,0,
6,7,Riccardo_Calafiori,DEF,Arsenal,3.443389,1.0,69.0,1,0,0,
6,348,Joe_Rodon,DEF,Leeds,3.0390582,7.0,90.0,1,0,0,
6,260,Marc_Guéhi,DEF,Man City,2.7369547,7.0,90.0,1,0,0,
6,381,Mohamed_Salah,MID,Liverpool,5.5824666,2.0,90.0,1,0,1,
6,82,Antoine_Semenyo,MID,Man City,4.535515,7.0,90.0,1,0,0,
6,237,Enzo_Fernández,MID,Chelsea,4.494032,9.0,90.0,1,0,0,
6,449,Bruno_Borges Fernandes,MID,Man Utd,4.4655304,-1.0,90.0,1,0,0,
6,86,David_Brooks,MID,Bournemouth,2.585352,1.0,30.0,1,0,0,
6,430,Erling_Haaland,FWD,Man City,6.219586,16.0,90.0,1,1,0,
6,97,Francisco Evanilson_de Lima Barbosa,FWD,Bournemouth,3.1552727,2.0,90.0,1,0,0,
6,602,Krisztián_Hegyi,GK,West Ham,0.054476824,0.0,0.0,0,0,0,
6,507,Ola_Aina,DEF,Nott'm Forest,0.21142595,0.0,0.0,0,0,0,
6,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.068452284,0.0,0.0,0,0,0,
6,286,Zach_Marsh,FWD,Crystal Palace,0.04017664,0.0,0.0,0,0,0,
7,470,Martin_Dúbravka,GK,Burnley,3.1320822,2.0,90.0,1,0,0,
7,8,Jurriën_Timber,DEF,Arsenal,4.380912,11.0,90.0,1,0,0,
7,7,Riccardo_Calafiori,DEF,Arsenal,4.1512094,6.0,74.0,1,0,0,
7,260,Marc_Guéhi,DEF,Man City,3.1722598,3.0,90.0,1,0,0,
7,449,Bruno_Borges Fernandes,MID,Man Utd,5.472763,3.0,90.0,1,0,1,
7,82,Antoine_Semenyo,MID,Man City,5.254099,18.0,90.0,1,0,0,
7,237,Enzo_Fernández,MID,Chelsea,5.1674533,2.0,90.0,1,0,0,
7,16,Bukayo_Saka,MID,Arsenal,5.1209574,8.0,90.0,1,0,0,
7,299,Iliman_Ndiaye,MID,Everton,4.2133746,7.0,90.0,1,0,0,
7,430,Erling_Haaland,FWD,Man City,6.112057,8.0,90.0,1,1,0,
7,97,Francisco Evanilson_de Lima Barbosa,FWD,Bournemouth,3.7649262,2.0,90.0,1,0,0,
7,602,Krisztián_Hegyi,GK,West Ham,0.05409228,0.0,0.0,0,0,0,
7,348,Joe_Rodon,DEF,Leeds,2.3843126,1.0,90.0,0,0,0,
7,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.07298657,0.0,0.0,0,0,0,
7,286,Zach_Marsh,FWD,Crystal Palace,0.032296155,0.0,0.0,0,0,0,
8,470,Martin_Dúbravka,GK,Burnley,3.2836432,9.0,90.0,1,0,0,
8,260,Marc_Guéhi,DEF,Man City,3.7884138,4.0,90.0,1,0,0,
8,8,Jurriën_Timber,DEF,Arsenal,3.755845,6.0,90.0,1,0,0,
8,7,Riccardo_Calafiori,DEF,Arsenal,3.5105534,6.0,90.0,1,0,0,
8,16,Bukayo_Saka,MID,Arsenal,4.770815,7.0,90.0,1,0,1,
8,82,Antoine_Semenyo,MID,Man City,4.7686076,4.0,90.0,1,0,0,
8,237,Enzo_Fernández,MID,Chelsea,3.8867092,0.0,0.0,1,0,0,
8,449,Bruno_Borges Fernandes,MID,Man Utd,3.7156072,8.0,84.0,1,0,0,
8,299,Iliman_Ndiaye,MID,Everton,3.48907,4.0,85.0,1,0,0,
8,430,Erling_Haaland,FWD,Man City,6.6804914,13.0,90.0,1,1,0,
8,283,Jean-Philippe_Mateta,FWD,Crystal Palace,4.6574845,17.0,90.0,1,0,0,
8,602,Krisztián_Hegyi,GK,West Ham,0.044115428,0.0,0.0,0,0,0,
8,348,Joe_Rodon,DEF,Leeds,2.3175025,1.0,90.0,0,0,0,
8,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.059181787,0.0,0.0,0,0,0,
8,286,Zach_Marsh,FWD,Crystal Palace,0.04031988,0.0,0.0,0,0,0,
9,470,Martin_Dúbravka,GK,Burnley,3.384014,2.0,90.0,1,0,0,
9,8,Jurriën_Timber,DEF,Arsenal,4.2098966,6.0,90.0,1,0,0,
9,7,Riccardo_Calafiori,DEF,Arsenal,3.8786948,6.0,81.0,1,0,0,
9,260,Marc_Guéhi,DEF,Man City,3.5922158,4.0,90.0,1,0,0,
9,82,Antoine_Semenyo,MID,Man City,6.2163596,3.0,90.0,1,0,1,
9,449,Bruno_Borges Fernandes,MID,Man Utd,5.615661,4.0,90.0,1,0,0,
9,16,Bukayo_Saka,MID,Arsenal,5.090649,3.0,65.0,1,0,0,
9,299,Iliman_Ndiaye,MID,Everton,4.794902,2.0,90.0,1,0,0,
9,237,Enzo_Fernández,MID,Chelsea,3.5843136,2.0,90.0,1,0,0,
9,430,Erling_Haaland,FWD,Man City,6.651922,2.0,90.0,1,1,0,
9,283,Jean-Philippe_Mateta,FWD,Crystal Palace,5.299972,2.0,90.0,1,0,0,
9,602,Krisztián_Hegyi,GK,West Ham,0.06125852,0.0,0.0,0,0,0,
9,348,Joe_Rodon,DEF,Leeds,2.8526697,13.0,90.0,0,0,0,
9,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.0931388,0.0,0.0,0,0,0,
9,286,Zach_Marsh,FWD,Crystal Palace,0.029659498,0.0,0.0,0,0,0,
10,670,Robin_Roefs,GK,Sunderland,3.7297862,2.0,90.0,1,0,0,
10,260,Marc_Guéhi,DEF,Man City,4.368046,10.0,90.0,1,0,0,
10,257,Maxence_Lacroix,DEF,Crystal Palace,3.397593,8.0,90.0,1,0,0,
10,7,Riccardo_Calafiori,DEF,Arsenal,3.3166335,6.0,71.0,1,0,0,
10,449,Bruno_Borges Fernandes,MID,Man Utd,5.0553017,5.0,90.0,1,0,0,
10,16,Bukayo_Saka,MID,Arsenal,4.7947693,3.0,90.0,1,0,0,
10,82,Antoine_Semenyo,MID,Man City,4.2469544,2.0,90.0,1,0,0,
10,299,Iliman_Ndiaye,MID,Everton,4.100081,9.0,61.0,1,0,0,
10,237,Enzo_Fernández,MID,Chelsea,4.0591083,2.0,90.0,1,0,0,
10,430,Erling_Haaland,FWD,Man City,6.9411187,13.0,81.0,1,1,0,
10,283,Jean-Philippe_Mateta,FWD,Crystal Palace,5.467116,9.0,89.0,1,0,1,
10,602,Krisztián_Hegyi,GK,West Ham,0.044680376,0.0,0.0,0,0,0,
10,348,Joe_Rodon,DEF,Leeds,2.094476,1.0,90.0,0,0,0,
10,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.052657958,0.0,0.0,0,0,0,
10,286,Zach_Marsh,FWD,Crystal Palace,0.03387076,0.0,0.0,0,0,0,
11,670,Robin_Roefs,GK,Sunderland,3.1875727,2.0,90.0,1,0,0,BB
11,226,Trevoh_Chalobah,DEF,Chelsea,4.041225,6.0,90.0,1,0,0,BB
11,260,Marc_Guéhi,DEF,Man City,3.886564,0.0,0.0,1,0,0,BB
11,257,Maxence_Lacroix,DEF,Crystal Palace,3.5221722,6.0,90.0,1,0,0,BB
11,82,Antoine_Semenyo,MID,Man City,5.3375745,0.0,90.0,1,0,0,BB
11,237,Enzo_Fernández,MID,Chelsea,5.0476594,3.0,82.0,1,0,0,BB
11,449,Bruno_Borges Fernandes,MID,Man Utd,4.824026,5.0,90.0,1,0,0,BB
11,16,Bukayo_Saka,MID,Arsenal,4.822738,12.0,90.0,1,0,0,BB
11,299,Iliman_Ndiaye,MID,Everton,4.5089855,3.0,90.0,1,0,0,BB
11,430,Erling_Haaland,FWD,Man City,6.96069,4.0,90.0,1,1,0,BB
11,283,Jean-Philippe_Mateta,FWD,Crystal Palace,5.429235,2.0,90.0,1,0,1,BB
11,602,Krisztián_Hegyi,GK,West Ham,0.040657822,0.0,0.0,0,0,0,BB
11,348,Joe_Rodon,DEF,Leeds,2.3710103,1.0,90.0,0,0,0,BB
11,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.06540834,0.0,0.0,0,0,0,BB
11,286,Zach_Marsh,FWD,Crystal Palace,0.032404408,0.0,0.0,0,0,0,BB
12,670,Robin_Roefs,GK,Sunderland,3.6583533,3.0,90.0,1,0,0,
12,226,Trevoh_Chalobah,DEF,Chelsea,3.8475544,6.0,90.0,1,0,0,
12,257,Maxence_Lacroix,DEF,Crystal Palace,3.8004088,11.0,90.0,1,0,0,
12,260,Marc_Guéhi,DEF,Man City,2.8463006,5.0,90.0,1,0,0,
12,16,Bukayo_Saka,MID,Arsenal,5.743078,4.0,90.0,1,0,1,
12,449,Bruno_Borges Fernandes,MID,Man Utd,5.3701277,2.0,90.0,1,0,0,
12,82,Antoine_Semenyo,MID,Man City,4.93285,0.0,0.0,1,0,0,
12,299,Iliman_Ndiaye,MID,Everton,3.7673428,3.0,80.0,1,0,0,
12,237,Enzo_Fernández,MID,Chelsea,3.3796408,11.0,90.0,1,0,0,
12,430,Erling_Haaland,FWD,Man City,6.815816,2.0,90.0,1,1,0,
12,283,Jean-Philippe_Mateta,FWD,Crystal Palace,5.2736025,1.0,59.0,1,0,0,
12,602,Krisztián_Hegyi,GK,West Ham,0.04416878,0.0,0.0,0,0,0,
12,348,Joe_Rodon,DEF,Leeds,1.9728673,3.0,90.0,0,0,0,
12,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.075823784,0.0,0.0,0,0,0,
12,286,Zach_Marsh,FWD,Crystal Palace,0.037982248,0.0,0.0,0,0,0,
13,670,Robin_Roefs,GK,Sunderland,3.975913,1.0,90.0,1,0,0,
13,8,Jurriën_Timber,DEF,Arsenal,3.5789616,2.0,90.0,1,0,0,
13,257,Maxence_Lacroix,DEF,Crystal Palace,3.5226042,3.0,90.0,1,0,0,
13,226,Trevoh_Chalobah,DEF,Chelsea,3.1968088,9.0,90.0,1,0,0,
13,237,Enzo_Fernández,MID,Chelsea,4.7090282,2.0,90.0,1,0,0,
13,236,Pedro_Lomba Neto,MID,Chelsea,4.707616,2.0,90.0,1,0,0,
13,449,Bruno_Borges Fernandes,MID,Man Utd,4.5615606,11.0,90.0,1,0,0,
13,299,Iliman_Ndiaye,MID,Everton,4.387334,2.0,79.0,1,0,0,
13,16,Bukayo_Saka,MID,Arsenal,4.326203,5.0,90.0,1,0,0,
13,430,Erling_Haaland,FWD,Man City,7.113858,2.0,90.0,1,1,0,
13,283,Jean-Philippe_Mateta,FWD,Crystal Palace,4.9857826,6.0,90.0,1,0,1,
13,602,Krisztián_Hegyi,GK,West Ham,0.040923454,0.0,0.0,0,0,0,
13,348,Joe_Rodon,DEF,Leeds,1.500954,0.0,90.0,0,0,0,
13,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.077850245,0.0,0.0,0,0,0,
13,286,Zach_Marsh,FWD,Crystal Palace,0.033594258,0.0,0.0,0,0,0,
14,670,Robin_Roefs,GK,Sunderland,3.2798421,3.0,90.0,1,0,0,
14,8,Jurriën_Timber,DEF,Arsenal,4.991268,1.0,46.0,1,0,0,
14,226,Trevoh_Chalobah,DEF,Chelsea,3.6764588,1.0,90.0,1,0,0,
14,257,Maxence_Lacroix,DEF,Crystal Palace,3.550373,8.0,90.0,1,0,0,
14,16,Bukayo_Saka,MID,Arsenal,5.671129,6.0,29.0,1,0,1,
14,449,Bruno_Borges Fernandes,MID,Man Utd,5.4145255,4.0,90.0,1,0,0,
14,237,Enzo_Fernández,MID,Chelsea,4.8682523,2.0,90.0,1,0,0,
14,236,Pedro_Lomba Neto,MID,Chelsea,4.791594,6.0,45.0,1,0,0,
14,299,Iliman_Ndiaye,MID,Everton,3.7059834,3.0,90.0,1,0,0,
14,430,Erling_Haaland,FWD,Man City,6.816228,14.0,90.0,1,1,0,
14,136,Igor Thiago_Nascimento Rodrigues,FWD,Brentford,4.7919693,1.0,30.0,1,0,0,
14,602,Krisztián_Hegyi,GK,West Ham,0.044149257,0.0,0.0,0,0,0,
14,348,Joe_Rodon,DEF,Leeds,2.119061,2.0,90.0,0,0,0,
14,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.0790411,0.0,0.0,0,0,0,
14,286,Zach_Marsh,FWD,Crystal Palace,0.039133735,0.0,0.0,0,0,0,
15,670,Robin_Roefs,GK,Sunderland,2.8173213,1.0,90.0,1,0,0,
15,411,Nico_O'Reilly,DEF,Man City,4.528037,6.0,90.0,1,0,0,
15,8,Jurriën_Timber,DEF,Arsenal,3.963512,3.0,90.0,1,0,0,
15,226,Trevoh_Chalobah,DEF,Chelsea,3.5968564,11.0,90.0,1,0,0,
15,449,Bruno_Borges Fernandes,MID,Man Utd,5.256704,18.0,90.0,1,0,1,
15,16,Bukayo_Saka,MID,Arsenal,5.1664248,4.0,78.0,1,0,0,
15,236,Pedro_Lomba Neto,MID,Chelsea,4.7359056,2.0,90.0,1,0,0,
